id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
37f23464-e4ff-47ee-8b69-1aa577f26baf,"""2026-08-19T00:50:15.575Z""",2026-08-19T00:50:15.575000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
741b6c3e-78cb-4c08-929c-054c4b0a8a88,"""2026-08-19T00:50:11.573Z""",2026-08-19T00:50:11.573000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
4f1c6ad6-74dd-4d4c-9b19-f0347594f95b,"""2026-08-19T00:50:09.575Z""",2026-08-19T00:50:09.575000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
974cf907-fac1-402f-90f7-54328d31e5fd,"""2026-08-19T00:50:08.579Z""",2026-08-19T00:50:08.579000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
2529367d-9f16-4903-be19-f00359770f1c,"""2026-08-19T00:50:07.618Z""",2026-08-19T00:50:07.618000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
a28205cb-15fa-474e-a9bb-9627c288382c,"""2026-08-19T00:50:06.770Z""",2026-08-19T00:50:06.770000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
99cbf75e-306d-4792-ba37-ef632a62aec8,"""2026-08-19T00:50:05.977Z""",2026-08-19T00:50:05.977000,success,200,,,,ougxeheoaifcuetnmgrw | GET | 200 | 10.106.80.165 | req-c8 | /tenants/ougxeheoaifcuetnmgrw/health | @supabase-infra/mgmt-api/365fea2,{},[],storage,0,null,[],null
243b30d8-2dd2-4ee7-b582-16cbd0df6526,"""2026-08-19T00:50:05.973Z""",2026-08-19T00:50:05.973000,error,521,HEAD,,/rest-admin/v1/ready,HEAD | 521 | https://ougxeheoaifcuetnmgrw.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/365fea2,{},[],edge,0,null,[],null
6482c33d-3def-4598-b76f-977c762f71f5,"""2026-08-19T00:50:05.968Z""",2026-08-19T00:50:05.968000,success,200,,,,Sent 200 in 2ms,{},[],realtime,0,null,[],null
ef18ea56-307b-481e-b277-fece972ab7a7,"""2026-08-19T00:50:05.572Z""",2026-08-19T00:50:05.572000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
7270ef90-5ca4-4ad1-8cdc-c6fa3f002549,"""2026-08-19T00:50:03.571Z""",2026-08-19T00:50:03.571000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
4a7d27fb-4426-4f46-a97c-9002a457ecea,"""2026-08-19T00:50:02.571Z""",2026-08-19T00:50:02.571000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
33f7edb3-6225-44cb-b33d-69c030c8d65a,"""2026-08-19T00:50:01.575Z""",2026-08-19T00:50:01.575000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
6b830747-27a4-4d62-aa66-de0c29de4f90,"""2026-08-19T00:50:00.805Z""",2026-08-19T00:50:00.805000,error,502,POST,,/auth/v1/token,"POST | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/token?grant_type=refresh_token | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
130a8df9-3284-44f7-9ee1-cb9a24a00c9e,"""2026-08-19T00:50:00.730Z""",2026-08-19T00:50:00.730000,success,200,,,,ougxeheoaifcuetnmgrw | GET | 200 | 10.106.39.250 | req-164a | /tenants/ougxeheoaifcuetnmgrw/health | @supabase-infra/mgmt-api/365fea2,{},[],storage,0,null,[],null
8f696879-5f72-4532-a48f-d409c76d7eb6,"""2026-08-19T00:49:55.770Z""",2026-08-19T00:49:55.770000,error,521,HEAD,,/rest-admin/v1/ready,HEAD | 521 | https://ougxeheoaifcuetnmgrw.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/365fea2,{},[],edge,0,null,[],null
8cbc004a-52c8-4b99-b6f5-aec508d20b87,"""2026-08-19T00:49:55.766Z""",2026-08-19T00:49:55.766000,error,502,GET,,/auth/v1/health,GET | 502 | https://ougxeheoaifcuetnmgrw.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/365fea2,{},[],edge,0,null,[],null
80ca430d-7860-419c-9b66-54b4e7fbfab7,"""2026-08-19T00:49:55.759Z""",2026-08-19T00:49:55.759000,success,200,,,,Sent 200 in 3ms,{},[],realtime,0,null,[],null
b309c61a-f1b3-47c4-a926-7d0e2f8d26d0,"""2026-08-19T00:49:55.747Z""",2026-08-19T00:49:55.747000,error,521,POST,,/admin/v1/network-bans/retrieve,POST | 521 | https://ougxeheoaifcuetnmgrw.supabase.co/admin/v1/network-bans/retrieve | @supabase-infra/mgmt-api/365fea2,{},[],edge,0,null,[],null
29fde304-e3c7-4f8c-a232-3fdadead0b83,"""2026-08-19T00:49:55.729Z""",2026-08-19T00:49:55.729000,success,200,,,,[Cache] Tenant pool lookup,{},[],storage,0,null,[],null
